OrderID,OrderDate,ProductID,SupplierID,Quantity,OrderAmount,ExpectedDeliveryDate,ModifiedDate
ORD001,01-08-2026,P001,S001,100,250000,08-08-2026,01-08-2026 10:00
ORD002,02-08-2026,P002,S002,50,125000,07-08-2026,02-08-2026 11:30
ORD003,03-08-2026,P003,S003,200,180000,10-08-2026,03-08-2026 09:15
ORD004,04-08-2026,P001,S001,150,375000,11-08-2026,04-08-2026 14:20
ORD005,05-08-2026,P004,S004,75,210000,12-08-2026,05-08-2026 15:00
ORD006,06-08-2026,P005,S005,300,330000,13-08-2026,06-08-2026 12:10
ORD007,07-08-2026,P002,S002,80,200000,14-08-2026,07-08-2026 16:40
ORD008,08-08-2026,P003,S003,120,108000,15-08-2026,08-08-2026 10:30
ORD009,09-08-2026,P004,S004,60,168000,16-08-2026,09-08-2026 13:45
ORD010,10-08-2026,P005,S005,250,275000,17-08-2026,10-08-2026 17:00
