OrderID,Date,Product,Store,Region,Quantity,Sales
ORD1001,18-08-2026,Laptop,S101,West,2,120000
ORD1002,18-08-2026,Phone,S102,South,5,150000
ORD1003,18-08-2026,Chair,S103,North,4,40000
ORD1004,18-08-2026,Laptop,S104,South,3,180000
ORD1005,18-08-2026,Phone,S105,West,4,120000
ORD1006,18-08-2026,Chair,S106,East,5,50000
ORD1007,18-08-2026,Phone,S102,South,4,120000
ORD1008,18-08-2026,Laptop,S101,West,1,60000
ORD1009,19-08-2026,Laptop,S101,West,1,60000
ORD1010,19-08-2026,Phone,S102,south,2,60000
ORD1011,19-08-2026,Chair,S103,North,4,40000
ORD1012,19-08-2026,Laptop,S104,South,1,60000
ORD1013,19-08-2026,Phone,S105,West,3,90000
ORD1014,19-08-2026,Chair,S106,East,5,50000
ORD1015,19-08-2026,Phone,S102,SOUTH,1,30000
ORD1015,19-08-2026,Phone,S102,SOUTH,1,30000
